Entity_name,Entity_id
대광현,E0014050
여흥부대부인 민씨,E0036554
수문,E0031371
홍무적,E0064077
정빈 이씨,E0050293
경신,E0002625
광개토왕,E0005057
이계린,E0043602
안진,E0035038
이종,E0045906
권전,E0007054
박이창,E0021055
양달석,E0035449
함귀봉,E0074296
남정각,E0012129
경선,E0002539
유사눌,E0041487
명기,E0018222
거관,E0001788
양산숙,E0035578
정충량,E0051016
충렬왕,E0058130
생육신,E0027525
김사행,E0009310
조순,E0052319
이송,E0044803
혜공,E0063573
최견,E0057167
김방걸,E0009173
이고,E0043623
석진,E0028524
관지,E0005008
윤임,E0042541
윤옥,E0042473
원기,E0040622
양홍달,E0035868
방서란,E0071030
선화공주,E0028980
신주원부인,E0033389
정복주,E0050266
양질,E0035796
변처후,E0022963
송복덕,E0030829
윤제술,E0042569
김간,E0008586
박기,E0070438
이윤,E0045446
김사걸,E0075822
단경왕후,E0013511
이정,E0045795
최해산,E0057749
도안,E0015758
조성복,E0052290
도원,E0015792
정분,E0050284
사성,E0025727
성준,E0029614
조간,E0051533
반석평,E0021494
안종원,E0035005
우성범,E0039973
이용,E0045246
윤회종,E0042708
이형기,E0071793
권지,E0007086
김사형,E0009312
안경,E0034494
윤번,E0042331
정주신,E0050912
이숙치,E0044883
조우,E0052428
이충,E0046276
유우,E0041693
홍이,E0064328
정안지,E0050532
윤목,E0042317
이육,E0045443
김사정,E0009306
진공,E0054582
심도원,E0033765
휴례부인,E0065847
영수,E0037470
사직재,E0025976
현수덕,E0063361
민공,E0020074
구강,E0005622
윤강,E0042186
정하보,E0071768
최민순,E0057305
이효지,E0046649
고수,E0003765
윤저,E0042556
최공,E0057193
연제근,E0036897
신백수,E0032982
심이지,E0033901
목조,E0018687
익조,E0046808
의조경강대왕,E0043394
순조,E0031943
요원랑,E0039336
덕종,E0015412
세조,E0029849
이첨,E0046240
김사안,E0009298
송경,E0030626
경복흥,E0002455
원경,E0040592
박구,E0020561
우소,E0039977
오위영,E0038450
상강,E0026999
신행,E0033552
이옹,E0045226
박지,E0021208
이천우,E0046223
이상은,E0044604
이굉,E0043716
밀본,E0020390
삼,E0026429
이완,E0045230
안선,E0034796
신담,E0032741
홍적,E0064375
신혜,E0071973
신기석,E0032717
권문해,E0006910
배설,E0021886
황종각,E0065313
노중례,E0012904
황자후,E0065290
박안신,E0020903
조상,E0051863
이숙,E0044873
장이욱,E0048756
정내교,E0050047
김호,E0011065
장명도,E0078509
정지,E0050940
정종,E0050884
김철,E0010770
박인간,E0021059
원목왕후,E0040654
성주덕,E0029572
입종갈문왕,E0047816
양우정,E0035681
김봉,E0009250
조열,E0052383
조담환,E0051656
조충,E0052709
조영국,E0052387
열기,E0037035
강계식,E0074666
유철,E0041897
권순,E0006969
성총,E0029658
해수,E0062625
충선왕,E0058156
상수,E0027166
양홍수,E0035871
성사달,E0029352
권극중,E0006846
김심,E0009708
심의,E0033895
덕기,E0015322
유간,E0041223
우봉운,E0079740
한서룡,E0061709
윤형,E0042682
화문,E0064615
김유,E0010069
박희중,E0021414
강위,E0001325
강중경,E0001398
이연,E0045151
서유,E0028105
맹만택,E0018063
전지,E0049700
권유,E0007020
정난교,E0050040
남은,E0012086
조인옥,E0052525
환조,E0065013
이석,E0044658
윤이상,E0042522
응규,E0043075
익안대군,E0046792
이애,E0045067
왕영,E0039125
유지,E0041841
정구,E0049982
이서,E0044646
한검,E0060967
이점,E0045784
문희석,E0074799
익비,E0046751
조선공,E0051919
이천봉,E0046209
한원,E0061864
겸용,E0002252
박사,E0020732
이현,E0046486
이지란,E0046047
배환,E0021957
허도,E0063039
노한,E0012936
장담,E0048364
한유문,E0061871
서인주,E0028129
은영,E0042847
이맹전,E0044186
임효인,E0047769
서도원,E0078646
조강,E0051536
일성이사금,E0047243
이당,E0043961
신순,E0033138
김대현,E0008922
권완,E0007007
하형산,E0060741
권극화,E0006848
견권,E0002148
이부,E0044426
윤삼산,E0042370
양신,E0035630
기인보,E0070504
전언,E0049524
김온,E0009917
궁예,E0006789
의빈 권씨,E0043241
강사덕,E0001176
내례부인,E0012431
조희민,E0052806
