"통합메타데이터 ID","전문센터ID","역통 대분류","DB정보","전문센터 메타데이터","제목","대체제목","원자료의 발신자","원자료의 편찬자","원자료의 작성자","역통 중분류","역통 소분류","전문센터주제분류","자료유형","기사레벨","발행자","파일형식","목차","초록","상위자료아이디","상위자료","의존자료","사건발생일","원자료생성일","원자료발행일","발행일","생성일","갱신일","연계주소","저자정렬","날짜정렬",
"KH.AKS.C0000026","AKS","KH.11.01.000","한국사기초사전","C0000026","김장생(金長生)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000026</get>                </url>","","",
"KH.AKS.C0000027","AKS","KH.11.01.000","한국사기초사전","C0000027","김종서(金宗瑞)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","충남 공주시 장기면 대교리.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000027</get>                </url>","","",
"KH.AKS.C0000028","AKS","KH.11.01.000","한국사기초사전","C0000028","김종직(金宗直)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","김종직의 사당. 경남 밀양시 부북면 후사포리.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000028</get>                </url>","","",
"KH.AKS.C0000029","AKS","KH.11.01.000","한국사기초사전","C0000029","김집(金集)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000029</get>                </url>","","",
"KH.AKS.C0000030","AKS","KH.11.01.000","한국사기초사전","C0000030","님의침묵(――沈默)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","한용운 지음. 1926년.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000030</get>                </url>","","",
"KH.AKS.C0000031","AKS","KH.11.01.000","한국사기초사전","C0000031","대동운부군옥(大東韻府群玉)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","권문해 엮음. 국사편찬위원회 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000031</get>                </url>","","",
"KH.AKS.C0000032","AKS","KH.11.01.000","한국사기초사전","C0000032","덕수궁(德壽宮)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000032</get>                </url>","","",
"KH.AKS.C0000033","AKS","KH.11.01.000","한국사기초사전","C0000033","휴정(休靜)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000033</get>                </url>","","",
"KH.AKS.C0000034","AKS","KH.11.01.000","한국사기초사전","C0000034","혜초(慧超)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","혜초가 쓴 서역기행문. 프랑스 국립중앙도서관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000034</get>                </url>","","",
"KH.AKS.C0000035","AKS","KH.11.01.000","한국사기초사전","C0000035","동국정운(東國正韻)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","신숙주 등 엮음. 1448년. 건국대학교도서관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000035</get>                </url>","","",
"KH.AKS.C0000036","AKS","KH.11.01.000","한국사기초사전","C0000036","혜자(惠慈)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000036</get>                </url>","","",
"KH.AKS.C0000037","AKS","KH.11.01.000","한국사기초사전","C0000037","말의소리(――――)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","주시경 지음. 1914년. 한국정신문화연구원 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000037</get>                </url>","","",
"KH.AKS.C0000038","AKS","KH.11.01.000","한국사기초사전","C0000038","모란병(牡丹屛)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","이해조 지음. 고려대학교도서관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000038</get>                </url>","","",
"KH.AKS.C0000039","AKS","KH.11.01.000","한국사기초사전","C0000039","발해고(渤海考)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","유득공 지음. 1784년. 국립중앙도서관 소장. 대씨가 북쪽을 차지하고 이를 ＇발해´라고 기록한 부분.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000039</get>                </url>","","",
"KH.AKS.C0000040","AKS","KH.11.01.000","한국사기초사전","C0000040","발해고(渤海考)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","정약용 엮음.《아방강역고》에서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000040</get>                </url>","","",
"KH.AKS.C0000041","AKS","KH.11.01.000","한국사기초사전","C0000041","범일(梵日)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000041</get>                </url>","","",
"KH.AKS.C0000042","AKS","KH.11.01.000","한국사기초사전","C0000042","보루각자격루(報漏閣自擊漏)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000042</get>                </url>","","",
"KH.AKS.C0000043","AKS","KH.11.01.000","한국사기초사전","C0000043","보우(普愚)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","1385년. 경기 고양시 덕양구 북한동.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000043</get>                </url>","","",
"KH.AKS.C0000044","AKS","KH.11.01.000","한국사기초사전","C0000044","보우(普雨)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","규장각도서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000044</get>                </url>","","",
